device_id,location,volume_l,sensor_id,heater_profile,measurement_step,temp_c,humidity_pct,pressure_hpa,gas_resistance_ohm,gas_valid,heat_stable,timestamp
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,8,31.96,19.51,94040.59,164683,1,1,207143
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,1,31.67,20.24,94040.45,6400000,0,0,5247
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,1,32.07,20.02,94072.12,6400000,0,0,5249
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,1,32.58,19.08,94061.68,6400000,0,0,5271
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,1,32.54,18.92,94100.82,6400000,0,0,5284
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,1,32.71,19.28,94059.05,6400000,0,0,5305
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,1,32.29,20.21,94087.93,6400000,0,0,5327
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,1,32.37,20.08,94090.00,6400000,0,0,5348
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,1,32.33,20.29,94079.05,6400000,0,0,5370
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,2,31.33,20.92,94042.37,169256,1,1,12742
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,2,31.69,20.77,94069.09,77341,1,1,12744
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,2,32.19,19.75,94059.09,70041,1,1,12756
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,2,32.10,19.70,94096.23,79061,1,1,12767
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,2,32.41,19.82,94058.27,27717,1,1,12779
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,2,32.00,20.65,94085.79,29479,1,1,12801
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,2,32.13,20.26,94088.18,32168,1,1,12812
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,2,32.10,20.50,94079.33,35020,1,1,12834
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,3,31.64,19.86,94040.23,194455,1,1,20195
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,3,32.09,19.77,94074.48,111888,1,1,20197
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,3,32.64,18.61,94061.73,47958,1,1,20209
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,3,32.62,18.64,94099.52,82580,1,1,20220
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,3,32.79,18.76,94066.12,36117,1,1,20232
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,3,32.44,19.41,94088.06,35934,1,1,20253
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,3,32.52,19.01,94091.70,43214,1,1,20265
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,3,32.54,19.03,94081.14,43345,1,1,20286
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,4,31.74,19.90,94041.16,170269,1,1,27657
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,4,32.18,19.75,94072.13,78191,1,1,27659
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,4,32.65,18.67,94061.98,72789,1,1,27681
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,4,32.61,18.68,94097.62,79429,1,1,27703
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,4,33.09,18.35,94062.19,48976,1,1,27724
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,4,32.67,19.14,94088.88,65674,1,1,27746
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,4,32.78,18.53,94089.73,86428,1,1,27758
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,4,32.75,18.67,94076.24,99669,1,1,27779
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,5,32.01,19.61,94038.48,116390,1,1,35150
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,5,32.45,19.45,94072.46,55980,1,1,35152
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,5,32.92,18.34,94058.66,31227,1,1,35164
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,5,32.92,18.36,94100.85,39677,1,1,35175
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,5,33.29,18.07,94062.95,54031,1,1,35187
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,5,32.85,18.89,94084.09,71388,1,1,35199
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,5,33.06,18.21,94084.81,82421,1,1,35221
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,5,33.01,18.38,94078.84,109378,1,1,35242
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,6,32.11,19.29,94038.35,97227,1,1,42604
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,6,32.53,19.15,94073.73,45086,1,1,42606
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,6,33.00,18.07,94058.82,27379,1,1,42618
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,6,32.99,18.09,94100.72,32786,1,1,42629
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,6,33.40,17.69,94060.93,50274,1,1,42641
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,6,32.98,18.54,94085.22,50423,1,1,42662
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,6,32.86,19.03,94082.97,57683,1,1,42674
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,6,33.08,17.96,94077.23,55220,1,1,42695
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,7,32.20,19.35,94038.70,89229,1,1,50066
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,7,32.62,19.19,94074.35,41531,1,1,50068
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,7,33.08,18.13,94059.63,25947,1,1,50080
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,7,33.06,18.12,94099.51,30188,1,1,50091
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,7,33.47,17.79,94066.25,37514,1,1,50103
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,7,33.04,18.66,94085.22,35724,1,1,50124
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,7,33.21,18.27,94089.73,41410,1,1,50136
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,7,33.19,18.09,94075.12,34454,1,1,50157
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,8,32.31,19.74,94037.84,163265,1,1,57519
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,8,32.70,19.54,94067.96,74831,1,1,57541
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,8,33.20,18.53,94060.87,70855,1,1,57553
